Pepito Grillo,	pepito@grillo.com,	pepitogrillo,	123123123,	regular
Peter Pan,	peter@pan.com,	peterpan,	123123123,	regular
Campa Nilla,	campa@nilla.com,	campanilla,	123123123,	regular
Wendy Darling,	wendy@darling.com,	wendydarling,	123123123,	regular
Coco Liso,	coco@liso.com,	cocoliso,	123123123,	moderator
Pine Apple,	pine@apple.com,	pineapple,	123123123,	regular
Water Melon,	water@melon.com,	watermelon,	123123123,	regular
Straw Berry,	straw@berry.com,	strawberry,	123123123,	regular
Blue Berry,	blue@berry.com,	blueberry,	123123123,	regular
Black Berry,	black@berry.com,	blackberry,	123123123,	moderator
Mango Tango,	mango@tango.com,	mangotango,	123123123,	regular
Cran Berry,	cran@berry.com,	cranberry,	123123123,	regular
Kiwi Fruit,	kiwi@fruit.com,	kiwifruit,	123123123,	regular
Passion Fruit,	passion@fruit.com,	passionfruit,	123123123,	moderator
Lime Light,	lime@light.com,	limelight,	123123123,	regular
